 Year "HadCRUT5 (°C)"
0 1850.0 -0.2496450959567491
1 1851.0 -0.08164062819455427
2 1852.0 -0.014372907497441191
3 1853.0 -0.09277053855366174
4 1854.0 -0.17331298351649346
5 1855.0 -0.12183337286335268
6 1856.0 -0.14666971321152694
7 1857.0 -0.2781973471043397
8 1858.0 -0.21952861560464088
9 1859.0 -0.12397550011208484
10 1860.0 -0.1330030441053285
11 1861.0 -0.22723680567627813
12 1862.0 -0.26879490319534977
13 1863.0 -0.193095432755146
14 1864.0 -0.16628105731502513
15 1865.0 -0.10918066297470119
16 1866.0 -0.14319761997554167
17 1867.0 -0.18177787865424785
18 1868.0 -0.028172926238062276
19 1869.0 -0.1339849483836273
20 1870.0 -0.0953940171406247
21 1871.0 -0.12940409476089448
22 1872.0 -0.11175387910452432
23 1873.0 -0.18118325552384557
24 1874.0 -0.23919269559220363
25 1875.0 -0.09415970911540542
26 1876.0 -0.19516112984301773
27 1877.0 0.11975108239300508
28 1878.0 0.12937012678261506
29 1879.0 -0.099740682728981
30 1880.0 -0.08915374621668543
31 1881.0 -0.07744543507575287
32 1882.0 -0.09798864779033692
33 1883.0 -0.10394262685446364
34 1884.0 -0.25986044657515445
35 1885.0 -0.2711993857536298
36 1886.0 -0.25465183523139817
37 1887.0 -0.28583503502954505
38 1888.0 -0.19367033495295038
39 1889.0 -0.03461764766596314
40 1890.0 -0.2617708965671582
41 1891.0 -0.1590591794241758
42 1892.0 -0.32706946042263696
43 1893.0 -0.26824272876616173
44 1894.0 -0.29539055962871796
45 1895.0 -0.1924980912803832
46 1896.0 -0.078182714403498
47 1897.0 -0.08933048622683223
48 1898.0 -0.2647588903172313
49 1899.0 -0.186647319764308
50 1900.0 -0.10255553076950191
51 1901.0 -0.20469321653212733
52 1902.0 -0.3428364880819044
53 1903.0 -0.3883835644956575
54 1904.0 -0.4152801447306825
55 1905.0 -0.25487373584744255
56 1906.0 -0.16189847790704076
57 1907.0 -0.30616021748921096
58 1908.0 -0.33279273425325856
59 1909.0 -0.4079560414850114
60 1910.0 -0.43473047105698
61 1911.0 -0.33046017213501966
62 1912.0 -0.43805401970213553
63 1913.0 -0.39892654962352536
64 1914.0 -0.2214031667946475
65 1915.0 -0.15608810727977995
66 1916.0 -0.28386862461750373
67 1917.0 -0.4865428883481918
68 1918.0 -0.2955650512773554
69 1919.0 -0.2582053793336077
70 1920.0 -0.20705833224923437
71 1921.0 -0.12516156449466542
72 1922.0 -0.21029589369448132
73 1923.0 -0.0887466892527947
74 1924.0 -0.14794042622680403
75 1925.0 -0.14369773801041957
76 1926.0 0.010477865355560926
77 1927.0 -0.046068920460834314
78 1928.0 -0.022308682684229076
79 1929.0 -0.19557419561161293
80 1930.0 0.025852469591288566
81 1931.0 0.0793624093206699
82 1932.0 0.005931687934108304
83 1933.0 -0.14628406129332513
84 1934.0 0.04156355701403536
85 1935.0 -0.012726459914969254
86 1936.0 0.04730684492853152
87 1937.0 0.3263899848177732
88 1938.0 0.30658027524851067
89 1939.0 0.1562967007734232
90 1940.0 0.3773652814081707
91 1941.0 0.1730177027429869
92 1942.0 0.2642105027642848
93 1943.0 0.3695123352587584
94 1944.0 0.48781988967387857
95 1945.0 0.38695800024272686
96 1946.0 0.03558280308635769
97 1947.0 0.16436799934083798
98 1948.0 -0.04104272702744573
99 1949.0 0.0567135598946423
100 1950.0 0.045206524460523874
101 1951.0 0.10521993940263757
102 1952.0 0.2749227448950453
103 1953.0 0.26643755490935445
104 1954.0 0.21911366126455017
105 1955.0 0.013202482773333387
106 1956.0 0.09873439954031657
107 1957.0 0.13384809459976238
108 1958.0 0.1262055982287474
109 1959.0 0.14845493549918506
110 1960.0 0.09253351277753386
111 1961.0 0.08890207093378967
112 1962.0 0.05338371227439581
113 1963.0 -0.06497339094762894
114 1964.0 -0.21679716585307637
115 1965.0 -0.021911731268608372
116 1966.0 -0.06304789438888461
117 1967.0 0.08875773997203135
118 1968.0 -0.011560344908316453
119 1969.0 0.17621000667189787
120 1970.0 0.0553517610755764
121 1971.0 0.004186524461612738
122 1972.0 0.1433095242061062
123 1973.0 0.12745948739012364
124 1974.0 0.06936906517622544
125 1975.0 0.018696967706669333
126 1976.0 0.05095421610787058
127 1977.0 0.25677025191183406
128 1978.0 0.17311297350157887
129 1979.0 0.16942630643878573
130 1980.0 0.3414145373666525
131 1981.0 0.4381939887092565
132 1982.0 0.16905738276871668
133 1983.0 0.326191969996846
134 1984.0 0.32798041593115956
135 1985.0 0.33454527616942065
136 1986.0 0.21915324820731763
137 1987.0 0.2690139996560783
138 1988.0 0.359222242973095
139 1989.0 0.3102600718269827
140 1990.0 0.5334253345792531
141 1991.0 0.5139351222250634
142 1992.0 0.24975986779787407
143 1993.0 0.3592741216332995
144 1994.0 0.37139777528817536
145 1995.0 0.530613038042463
146 1996.0 0.5103946334604788
147 1997.0 0.5615080608658948
148 1998.0 0.6905835036332201
149 1999.0 0.4213158699121294
150 2000.0 0.4963913185849858
151 2001.0 0.6157191991990831
152 2002.0 0.6821335606931139
153 2003.0 0.6656327725457898
154 2004.0 0.5521579053116705
155 2005.0 0.7972707202832777
156 2006.0 0.8110477965727729
157 2007.0 0.7958164964340018
158 2008.0 0.6513111044736263
159 2009.0 0.7880291055135863
160 2010.0 0.9155356304954747
161 2011.0 0.8555810454727105
162 2012.0 0.8955075354734741
163 2013.0 0.7750521227737426
164 2014.0 0.91568195951974
165 2015.0 0.9688329487676529
166 2016.0 1.2170422975939434
167 2017.0 1.0471418715930039
