 Year "PI_spin-up (°C)"
0 1832.0 -0.07013549804687536
1 1833.0 -0.19632568359375036
2 1834.0 -0.38648071289062536
3 1835.0 -0.16803588867187536
4 1836.0 -0.20618286132812536
5 1837.0 -0.08597412109375036
6 1838.0 -0.14594116210937536
7 1839.0 0.017877197265624645
8 1840.0 -0.014990234375000355
9 1841.0 -0.07385864257812536
10 1842.0 -0.07013549804687536
11 1843.0 -0.19632568359375036
12 1844.0 -0.38648071289062536
13 1845.0 -0.16803588867187536
14 1846.0 -0.20618286132812536
15 1847.0 -0.08597412109375036
16 1848.0 -0.14594116210937536
17 1849.0 0.017877197265624645
18 1850.0 -0.014990234375000355
19 1851.0 -0.07385864257812536
20 1852.0 -0.07013549804687536
21 1853.0 -0.19632568359375036
22 1854.0 -0.38648071289062536
23 1855.0 -0.16803588867187536
24 1856.0 -0.20618286132812536
25 1857.0 -0.08597412109375036
26 1858.0 -0.14594116210937536
27 1859.0 0.017877197265624645
28 1860.0 -0.014990234375000355
29 1861.0 -0.07385864257812536
30 1862.0 -0.07013549804687536
31 1863.0 -0.19632568359375036
32 1864.0 -0.38648071289062536
33 1865.0 -0.16803588867187536
34 1866.0 -0.20618286132812536
35 1867.0 -0.08597412109375036
36 1868.0 -0.14594116210937536
37 1869.0 0.017877197265624645
38 1870.0 -0.014990234375000355
39 1871.0 -0.07385864257812536
40 1872.0 -0.07013549804687536
41 1873.0 -0.19632568359375036
42 1874.0 -0.38648071289062536
43 1875.0 -0.16803588867187536
44 1876.0 -0.20618286132812536
45 1877.0 -0.08597412109375036
46 1878.0 -0.14594116210937536
47 1879.0 0.017877197265624645
48 1880.0 -0.014990234375000355
49 1881.0 -0.07385864257812536
50 1882.0 -0.07013549804687536
51 1883.0 -0.19632568359375036
52 1884.0 -0.38648071289062536
53 1885.0 -0.16803588867187536
54 1886.0 -0.20618286132812536
55 1887.0 -0.08597412109375036
56 1888.0 -0.14594116210937536
57 1889.0 0.017877197265624645
58 1890.0 -0.014990234375000355
59 1891.0 -0.07385864257812536
60 1892.0 -0.07013549804687536
61 1893.0 -0.19632568359375036
62 1894.0 -0.38648071289062536
63 1895.0 -0.16803588867187536
64 1896.0 -0.20618286132812536
65 1897.0 -0.08597412109375036
66 1898.0 -0.14594116210937536
67 1899.0 0.017877197265624645
68 1900.0 -0.014990234375000355
69 1901.0 -0.07385864257812536
70 1902.0 -0.07013549804687536
71 1903.0 -0.19632568359375036
72 1904.0 -0.38648071289062536
73 1905.0 -0.16803588867187536
74 1906.0 -0.20618286132812536
75 1907.0 -0.08597412109375036
76 1908.0 -0.14594116210937536
77 1909.0 0.017877197265624645
78 1910.0 -0.014990234375000355
79 1911.0 -0.07385864257812536
80 1912.0 -0.07013549804687536
81 1913.0 -0.19632568359375036
82 1914.0 -0.38648071289062536
83 1915.0 -0.16803588867187536
84 1916.0 -0.20618286132812536
85 1917.0 -0.08597412109375036
86 1918.0 -0.14594116210937536
87 1919.0 0.017877197265624645
88 1920.0 -0.014990234375000355
89 1921.0 -0.07385864257812536
90 1922.0 -0.07013549804687536
91 1923.0 -0.19632568359375036
92 1924.0 -0.38648071289062536
93 1925.0 -0.16803588867187536
94 1926.0 -0.20618286132812536
95 1927.0 -0.08597412109375036
96 1928.0 -0.14594116210937536
97 1929.0 0.017877197265624645
98 1930.0 -0.014990234375000355
99 1931.0 -0.07385864257812536
100 1932.0 -0.07013549804687536
101 1933.0 -0.19632568359375036
102 1934.0 -0.38648071289062536
103 1935.0 -0.16803588867187536
104 1936.0 -0.20618286132812536
105 1937.0 -0.08597412109375036
106 1938.0 -0.14594116210937536
107 1939.0 0.017877197265624645
108 1940.0 -0.014990234375000355
109 1941.0 -0.07385864257812536
110 1942.0 -0.07013549804687536
111 1943.0 -0.19632568359375036
112 1944.0 -0.38648071289062536
113 1945.0 -0.16803588867187536
114 1946.0 -0.20618286132812536
115 1947.0 -0.08597412109375036
116 1948.0 -0.14594116210937536
117 1949.0 0.017877197265624645
118 1950.0 -0.014990234375000355
119 1951.0 -0.07385864257812536
120 1952.0 -0.07013549804687536
121 1953.0 -0.19632568359375036
122 1954.0 -0.38648071289062536
123 1955.0 -0.16803588867187536
124 1956.0 -0.20618286132812536
125 1957.0 -0.08597412109375036
126 1958.0 -0.14594116210937536
127 1959.0 0.017877197265624645
128 1960.0 -0.014990234375000355
129 1961.0 -0.07385864257812536
130 1962.0 -0.07013549804687536
131 1963.0 -0.19632568359375036
132 1964.0 -0.38648071289062536
133 1965.0 -0.16803588867187536
134 1966.0 -0.20618286132812536
135 1967.0 -0.08597412109375036
136 1968.0 -0.14594116210937536
137 1969.0 0.017877197265624645
138 1970.0 -0.014990234375000355
139 1971.0 -0.07385864257812536
140 1972.0 -0.07013549804687536
141 1973.0 -0.19632568359375036
142 1974.0 -0.38648071289062536
143 1975.0 -0.16803588867187536
144 1976.0 -0.20618286132812536
145 1977.0 -0.08597412109375036
146 1978.0 -0.14594116210937536
147 1979.0 0.017877197265624645
148 1980.0 -0.014990234375000355
149 1981.0 -0.07385864257812536
150 1982.0 -0.07013549804687536
151 1983.0 -0.19632568359375036
152 1984.0 -0.38648071289062536
153 1985.0 -0.16803588867187536
154 1986.0 -0.20618286132812536
155 1987.0 -0.08597412109375036
156 1988.0 -0.14594116210937536
157 1989.0 0.017877197265624645
158 1990.0 -0.014990234375000355
159 1991.0 -0.07385864257812536
160 1992.0 -0.07013549804687536
161 1993.0 -0.19632568359375036
162 1994.0 -0.38648071289062536
163 1995.0 -0.16803588867187536
164 1996.0 -0.20618286132812536
165 1997.0 -0.08597412109375036
166 1998.0 -0.14594116210937536
167 1999.0 0.017877197265624645
168 2000.0 -0.014990234375000355
169 2001.0 -0.07385864257812536
170 2002.0 -0.07013549804687536
171 2003.0 -0.19632568359375036
172 2004.0 -0.38648071289062536
173 2005.0 -0.16803588867187536
174 2006.0 -0.20618286132812536
175 2007.0 -0.08597412109375036
176 2008.0 -0.14594116210937536
177 2009.0 0.017877197265624645
178 2010.0 -0.014990234375000355
179 2011.0 -0.07385864257812536
180 2012.0 -0.07013549804687536
181 2013.0 -0.19632568359375036
182 2014.0 -0.38648071289062536
183 2015.0 -0.16803588867187536
184 2016.0 -0.20618286132812536
185 2017.0 -0.08597412109375036
