 Year "PI_spin-up (°C)"
0 1882.0 -0.06851806640625036
1 1883.0 -0.19306030273437536
2 1884.0 -0.38156738281250036
3 1885.0 -0.16147460937500036
4 1886.0 -0.19797363281250036
5 1887.0 -0.07614746093750036
6 1888.0 -0.13449707031250036
7 1889.0 0.030999755859374645
8 1890.0 -0.00021972656250035527
9 1891.0 -0.057409667968750355
10 1892.0 -0.052008056640625355
11 1893.0 -0.17667236328125036
12 1894.0 -0.36514892578125036
13 1895.0 -0.14508666992187536
14 1896.0 -0.18158569335937536
15 1897.0 -0.059698486328125355
16 1898.0 -0.11807861328125036
17 1899.0 0.047418212890624645
18 1900.0 0.016168212890624645
19 1901.0 -0.040960693359375355
20 1902.0 -0.035620117187500355
21 1903.0 -0.16022338867187536
22 1904.0 -0.34873046875000036
23 1905.0 -0.12860717773437536
24 1906.0 -0.16516723632812536
25 1907.0 -0.043280029296875355
26 1908.0 -0.10166015625000036
27 1909.0 0.06383666992187464
28 1910.0 0.032617187499999645
29 1911.0 -0.024633789062500355
30 1912.0 -0.019201660156250355
31 1913.0 -0.14383544921875036
32 1914.0 -0.33228149414062536
33 1915.0 -0.11218872070312536
34 1916.0 -0.14874877929687536
35 1917.0 -0.026861572265625355
36 1918.0 -0.08521118164062536
37 1919.0 0.08031616210937464
38 1920.0 0.048974609374999645
39 1921.0 -0.008215332031250355
40 1922.0 -0.0027832031250003553
41 1923.0 -0.12735595703125036
42 1924.0 -0.31592407226562536
43 1925.0 -0.09580078125000036
44 1926.0 -0.13233032226562536
45 1927.0 -0.010443115234375355
46 1928.0 -0.06882324218750036
47 1929.0 0.09673461914062464
48 1930.0 0.06548461914062464
49 1931.0 0.008264160156249645
50 1932.0 0.013604736328124645
51 1933.0 -0.11099853515625036
52 1934.0 -0.29950561523437536
53 1935.0 -0.07938232421875036
54 1936.0 -0.11594238281250036
55 1937.0 0.005975341796874645
56 1938.0 -0.052404785156250355
57 1939.0 0.11315307617187464
58 1940.0 0.08187255859374964
59 1941.0 0.024682617187499645
60 1942.0 0.030023193359374645
61 1943.0 -0.09454956054687536
62 1944.0 -0.28302612304687536
63 1945.0 -0.06293334960937536
64 1946.0 -0.09946289062500036
65 1947.0 0.022393798828124645
66 1948.0 -0.035955810546875355
67 1949.0 0.12954101562499964
68 1950.0 0.09829101562499964
69 1951.0 0.041101074218749645
70 1952.0 0.046472167968749645
71 1953.0 -0.07810058593750036
72 1954.0 -0.26660766601562536
73 1955.0 -0.046514892578125355
74 1956.0 -0.08304443359375036
75 1957.0 0.038781738281249645
76 1958.0 -0.019537353515625355
77 1959.0 0.14595947265624964
78 1960.0 0.11473999023437464
79 1961.0 0.057519531249999645
80 1962.0 0.06289062499999964
