 Year FSU-HYCOM MIROC-COCO4.9 CAS-LICOM3 AWI-FESOM CESM-POP NorESM-BLOM MRI.COM EC-Earth3-NEMO Kiel-NEMO GFDL-MOM CMCC-NEMO Observations ACCESS-OM2_new ACCESS_OM2_OMIP
0 1958.0 5.4506672569178286e+22 5.396778328753834e+22 7.373047331414784e+22 5.583985233300055e+22 7.372194007249966e+22 1.2673526926951474e+23 1.052316398931481e+23 5.987767160632658e+22 5.27427232840062e+22 1.223363371253196e+23 9.382227700965123e+22 -6.142279e+22 -3.691968862938048e+22 9.02329820290243e+22
1 1959.0 4.008807728266946e+22 3.2031277295582696e+22 4.851329483194843e+22 3.174835398154514e+22 4.782418899783013e+22 8.958620141139414e+22 8.06704982642487e+22 3.6552467860327995e+22 2.9952243358812256e+22 8.677242970986466e+22 5.5080789476036e+22 -6.796469e+22 -3.125075560239375e+22 6.388512650492158e+22
2 1960.0 2.7885245579819083e+22 1.7951931357522716e+22 3.889975599309809e+22 1.856837704356317e+22 3.2303884386124685e+22 7.232088986775536e+22 6.469170431564268e+22 1.9770093652973273e+22 1.677021125301178e+22 6.285783273610863e+22 3.88328004973025e+22 -3.5620136e+22 -2.88284495323799e+22 4.956454811701493e+22
3 1961.0 2.410765672226931e+22 1.2858455626366354e+22 3.608614818841678e+22 1.4479959837576207e+22 2.6076127101552574e+22 5.7827024715369035e+22 5.663463402519244e+22 1.2633060753159433e+22 1.2726234992727317e+22 4.917373618846956e+22 2.791130886985049e+22 -2.8453625e+22 -2.2200285813560274e+22 4.328675014524564e+22
4 1962.0 3.1477188032378207e+22 1.7925677115312282e+22 3.903945374978107e+22 2.1415068496382956e+22 2.858405605738654e+22 5.297314348525666e+22 5.7983097369322706e+22 1.8869917306785018e+22 1.868154694189589e+22 4.6474978490895514e+22 2.975035245538706e+22 -2.2047863e+22 -8.709933299183255e+21 4.881486838065047e+22
5 1963.0 2.751814507237658e+22 1.38986537759194e+22 3.111263907217054e+22 1.8491785731042424e+22 2.4271301391966404e+22 2.883642027971739e+22 5.171305541101093e+22 1.496798214889799e+22 1.6293165962224713e+22 2.263510859210675e+22 8.166642753333075e+21 -3.77996e+22 -8.722597446899066e+21 4.364387505330376e+22
6 1964.0 8.317704268665812e+21 -7.491367422854743e+21 8.96684347824377e+21 -3.514835999231878e+21 4.993625596749391e+21 1.4237671706786544e+22 2.8772921417588753e+22 -8.570512075452855e+21 -4.4485724492828613e+21 4.4689549688304357e+21 -4.378162352605377e+21 -4.6040934e+22 -2.8583958217926354e+22 1.928826788916167e+22
7 1965.0 -2.878165420971049e+21 -2.024831239513067e+22 -3.486341026455386e+21 -1.7669630451681205e+22 -1.0238448638802195e+22 -2.0372449418977357e+22 1.194211847707826e+22 -2.2244609906387517e+22 -1.74553604863831e+22 -2.5873335736592723e+22 -3.7781623319890904e+22 -5.3011385e+22 -3.914815997580403e+22 2.9754411412943924e+21
8 1966.0 -9.078664515916992e+21 -2.6859032826347495e+22 -1.3910383683044343e+22 -2.5153427414590304e+22 -1.712913578852539e+22 -1.503835969548808e+22 1.9112465707410957e+21 -2.928133863530056e+22 -2.399425888263893e+22 -1.8603240603044062e+22 -2.620731054945197e+22 -7.205296e+22 -4.071035062571144e+22 -3.966439617128437e+21
9 1967.0 -1.3740052204145642e+22 -2.862402417370389e+22 -1.5597587177722614e+22 -2.7627799120567096e+22 -2.140499696579811e+22 -2.4991352941892677e+22 -4.819963989413419e+21 -3.228399501959425e+22 -2.590878912391669e+22 -2.8845093632489002e+22 -3.751733672395649e+22 -7.1423465e+22 -3.755017479274921e+22 -6.481101797860974e+21
10 1968.0 -1.500941249339676e+22 -2.5723142191914227e+22 -1.565225382187759e+22 -2.5223771738410704e+22 -2.2036473267008586e+22 -2.3899961553116706e+22 -6.924500551580657e+21 -2.9015911340331294e+22 -2.3285420323061906e+22 -2.7090534664306935e+22 -3.5785514838348356e+22 -7.0740106e+22 -2.9962780382096687e+22 -4.125823543271628e+21
11 1969.0 -1.33096763581489e+22 -2.16497390399394e+22 -1.3952173936023091e+22 -2.3597760808645325e+22 -1.4735849616523955e+22 -1.605631817032203e+22 -4.795509348831553e+21 -2.374059132154567e+22 -1.8207481638896993e+22 -2.3873196263700534e+22 -3.544181044428472e+22 -5.703124e+22 -2.370355154475125e+22 -1.0326755255964611e+21
12 1970.0 -1.43055203657624e+22 -2.0683459342882176e+22 -1.4097921379042008e+22 -2.3513953302041906e+22 -1.4792018086935614e+22 -1.5770031741012525e+22 -7.280510007516902e+21 -2.1950553011188696e+22 -1.793030809991714e+22 -2.5388310927985993e+22 -2.619294034863994e+22 -4.9213166e+22 -2.1576393379916754e+22 -9.647935360096608e+20
13 1971.0 -1.1496485061578847e+22 -1.5873339349463575e+22 -8.673905033305246e+21 -1.6861598565179683e+22 -1.3849756534359892e+22 -2.0445947276836393e+22 -8.503061618659902e+21 -1.7559523786438673e+22 -1.3587933335693545e+22 -2.550529472812955e+22 -2.4122159540675247e+22 -3.7103986e+22 -1.561231244775067e+22 3.530307031267432e+21
